Oinwe	Ve.
Manai riki ea	Soy paciente.
Yoyo aki riki ea	Estoy leyendo.
Tanti riki ea	Estoy descansando.
Wetsakeskaakin shinanai	Soy egoísta.
Xepokana riki ea	Estoy atrapado.
Manai riki ea	Estoy esperando.
masa aki riki ea	Estoy preocupada.
Jato oinyamawe	Ignoralos.
¿Boti?	¿Para llevar?
¿Jakomarin?	¿Está ventoso?
¿Minarin?	¿Es suyo?
¿Jatibirin?	¿Es todo?
Moara winoke	Pasó.
Jara winoke	Eso sucedió.
Enra akinai	Yo invito.
Janra ea akinke	Me salvó.
Jakonra ike	Estuvo chido.
Atibiresa ike	Fue fácil.
Ointira ike	Fue real.
Lunesnin	Es lunes.
Jatibi jakon	Todo bien.
Jawe ati yama	Es aburrido.
Matsishaman	Hace fresco.
Yamecha	Está nublado.
Yanka riki	Es inútil.
Jakon riki	Es normal.
Ointima	Es secreto.
Areswe	Sigue intentando.
En mia akinban	Déjame ayudarte.
Ea onanmawe	Házmelo saber.
Ea jamawe	Déjame vivir.
¡Peonon iwe!	¡Empecemos!
Onanon iwe	Comencemos.
Ransanon iwe	Bailemos.
¡Anon iwe!	¡Hagámoslo!
Jikinon iwe	Entremos.
Kanon iwe	Vayámonos.
Oinwe	Míralo.
¡Ichabires irake!	¡Muchas gracias!
Shinanwe	Memórizalo.
Tsoabira mawayamake	Nadie murió.
Tsoabira joyamake	Nadie vino.
Tsoabira jansoyamake	Nadie mintió.
Rama akinwe	Ahora ayúdame.
Rama tenewe	Ahora resiste.
Rama kareswe	Ahora sigue.
Rama kareswe	Ahora continúa.
Kareswe	Ahora prosigue.
Rama netewe	Ahora callate.
Pakewe	Bájalo.
Nato sawewe	Ponte esto.
Nato sawewe	Póngase esto.
Jenewe	Libérale.
Shinanwe	Recuérdalo.
Chicho katanwe awe	Mándalo dentro.
Chicho ranwe	Mándalo adentro.
Chicho rankanwe	Mándenlo adentro.
¿Katirin?	¿Nos vamos?
¿Katira jake?	¿Debería ir?
Ea oinmawe jawekeskarin?	Muéstrame cómo.
Ea yoyo awe	Háblame.
¡Jain iti jenewe!	¡Dejad sitio!
¡Jainbi iwe!	¡Quieto ahí!
¡Jainbi iwe!	¡Quédate quieto!
¡Jainbi! ¡Yometso!	¡Alto! ¡Ladrón!
Tantiwe	Descansad.
Awe	Actúa.
Janra akinke	Eso ayudó.
Mecha riki	Está mojado.
Keterake	Eso funcionó.
¡Jainra itinke!	¡Allá está!
Menorakanke	Se quemaron.
Kenakiakana	Llamaron.
Ransakiakana	Bailaron.
Akiakana	Lo hicieron.
Nokokiakana	Lo lograron.
Ikokanankiakana	Se abrazaron.
Betsoakia	Se besaron.
Akiakana	Obedecieron.
Osankiakana	Sonrieron.
Manakiakana	Esperaron.
Niikiakana	Caminaron.
Jaboki niikana	Ellos caminaron.
Bokiakana	Pasearon.
Jaboki sai ika	Ellos gritaron.
Nato piisi iki	Esto apesta.
Tomki nokota	Tom llegó.
Tomanki wetsakeskaakin aka	Tom cambió.
Tomanki aka	Tom varió.
Tomanki meken tash aka	Tomás aplaudió.
Tomanki yoiya	Tom decidió.
Tomki jabata	Tom escapó.
Tomanra niwe bibake	Tom espiró.
Tomra jainmacha ibake	Tom gruñó.
Tomanra niwe chicho niaibake	Tom inhaló.
Tomanra ninkatai	Tom escucha.
Tomra jatishan ibake	Tom estornudó.
Tomanra axeakai	Tom enseña.
Tomanra akinai	Tom ayudará.
Nato tanawe	Pruébate este.
Nokawe	Apágalo.
Manawe	Esperame.
Manawe	Espéranos.
Jishteanwe	Despertalo.
Jainmacha kawe	Camina lentamente.
¿Jainmachaki ea ibata?	¿Estaba equivocada?
¿Matsiki ika?	¿Hacía frío?
¿Jakonki ika?	¿Estuvo bueno?
Neno riki noa	Estamos aquí.
Bachira non pike	Comimos huevos.
Non akinti atipana	Podemos ayudar.
Noa yoyo iti atipana	Podemos hablar.
Non peoti atipana	Podemos esperar.
Noara manoke	Nos perdimos.
Nonra mia noike	Te queremos.
Nonra mia noike	Te amamos.
Noara mia shinanai	Te extrañamos.
Noara mion kenai	Te necesitamos.
Nonra akinaibake	Lo prometimos.
Nonra shinanai	Nos recordamos.
Noara jake	Sobrevivimos.
Nonra jato boai	Nosotros conduciremos.
Nonra jato akinai	Nosotros compartiremos.
Nonra jato akinai	Compartiremos.
Jishtena riki noa	Estamos despiertos.
Noara jakonshaman iki	Estamos limpios.
Kikin raroshaman noa	Somos felices.
Atires riki noa	Estamos listos.
Noara jain yoyo ikai	Tenemos razón.
Eri	Lo sentimos.
Paxkina riki noa	Estamos cansados.
Ja jisa rabebires	Somos gemelos.
Noara bakeranonbo iki	Somos jóvenes.
¡Kikin onama!	¡Qué burro!
¡Iresbiresa joni!	¡Qué pendejo!
¡Jakoma joni!	¡Qué imbécil!
¡Yama jaweki!	¡Qué pérdida!
¡Jakoma jaweki!	¡Qué desastre!
¡Keras!	¡Qué mugre!
Atikoma jaweki	¡Qué confusión!
Kikin isin	Qué dolor.
Eritain	Qué lástima.
Eri	Qué pena.
¡Eritain!	¡Qué lástima!
¡Jawe tsinki!	¡Qué equipo!
¡Jawerin mia!	¡Qué ego!
¿Tsoarin mato?	¿Quiénes sois?
¿Tsoarin mia?	¿Quién sos?
¿Tsonki oina?	¿Quién vitoreó?
¿Tsoaki jabata?	¿Quién escapó?
¿Tsoaki joai?	¿Quién viene?
Wishawe	Escríbelo.
Ani	Sos grande.
Jakoma riki mia	Estás loca.
Jakomarake	Hizo trampa.
Matora jakomakanke	Hicieron trampa.
Maxkakiakana	Se desmayaron.
Min maxka	Te desmayaste.
Maxkarake	Se desmayó.
Minra ea jakomaakai	Me lastimas.
Banewe	Quédatelo.
Mia kenai	Lo necesitas.
Min non kenai	Nos necesitas.
Miabicho riki	Eres libre.
Banetai joni riki mia	Estás retrasado.
¡Mia jakon iki!	¡Estás loco!
¡Mia isinai!	¡Estás enfermo!
Mia isinai	Estás enfermo.
Mia yosma iki	Estás débil.
¿Ea kaban?	¿Estoy invitado?
¿Jawe benaki yama?	¿Nada nuevo?
¿Tee akirin mia?	¿Estás ocupado?
¿Mia matsin ikai?	¿Tienes frío?
¿Mia mawata?	¿Estás muerto?
¿Min ninkayamai?	¿Eres sordo?
¿Miabichorin?	¿Estás libre?
¿Mia potota?	¿Estás lleno?
¿Mia jakomacha iki?	¿Estás herida?
¿Mia manota?	¿Estás perdido?
¿Isiniri mia?	¿Estás enfermo?
¿Min ikon yoiyai?	¿Está segura?
¿Min ikon yoiyai?	¿Está seguro?
¿Maton ikon yoiyai?	¿Están seguros?
Oinwe	Estar atento.
Oinwe	Sé confiado.
Ponte yoiwe	Ten seguridad.
Shinanwe	Sé despiadado.
Ponte yoiwe	Sea objetivo.
Ponte yoikanwe	Sean objetivos.
¡Ponte yoyo iwe!	¡Sé realista!
Winomawe	Hazle pasar.
¿Min ati atipana?	¿Puedo intentar?
¿Min ati atipana?	¿Puede hacerlo?
¿Mia joti atipana?	¿Puedes venir?
¿Min akinti atipana?	¿Puedes ayudar?
¿Min yoyo ati atipana?	¿Puedes leer?
¿Mia nonoti atipana?	¿Sabes nadar?
¿Mia niti atipana?	¿Puedes andar?
¿Mia niti atipana?	¿Podéis andar?
¡Oinwe!	¡Míralo!
¡Oinwe!	¡Compruébalo!
Ramabi jowe	Ven enseguida.
Ochomacha jowe	Acércate.
Banewe	Regresa.
Pakewe	Baja.
Pakewe	Baje.
Jeman pikowe	Sal fuera.
Ebe jowe	Venga conmigo.
Matsiawe	Enfríalo.
¿Tomki joa?	¿Vino Tom?
¿Tomanki akina?	¿Tom ayudó?
¿Min akina?	¿Ayudaste?
¿Min firimana?	¿Firmaste?
¿Firimankana?	¿Firmaron?
¿Jakorin ea?	¿Luzco bien?
¿Min jotiai?	¿Usted fuma?
¿Min jotiai?	¿Fumas?
¿Mia ranx ikai?	¿Usted ronca?
¿Mia ranx ikai?	¿Tú roncas?
¿Isinri?	¿Duele?
Jakomayamawe	No divagues.
Jainmacha bowe	Conduce lentamente.
Nato oinwe	Examine esto.
Nato oinkanwe	Examinen esto.
Ja ea meniwe	Dame eso.
Sere ea meniwe	Deme tiempo.
Chicho kawe	Ve adentro.
Jakon yamekiri	Buenos días.
Manawe, Tom	Espera, Tom.
Jakon Paskoa	Feliz Pascua.
¡Jakon Paskoa winowe!	¡Feliz Pascua!
Xeataniwe	Tómate algo.
Botana piwe	Come botana.
Wetsa biwe	Toma otra.
Wetsa biwe	Toma otro.
Koshiwe	Sé valiente.
Jara sai ibake	Él gritó.
Akinai	La ayuda.
Jara frances iki	Es francés.
Pii riki	Está comiendo.
Ishton ishtowe	Corre rápido.
Manarai	Esperará.
Jakomacha riki	Está sufriendo.
¡Benxoawe!	¡Oye, aguarda!
¡Jawerin!	¡Qué rollo!
¡Kikin iwe!	¡Qué pesado!
¡Kikin ani!	¡Qué incordio!
¡Kikin jakoma!	¡Qué arrogante!
¡Kikin jakoma!	¡Qué horrible!
¡Kikin metsa!	¡Qué romántico!
Enra mia noike	Te admiro.
Chino riki ea	Soy chino.
Eara onankasai	Quiero saberlo.
Jakomacha riki ea	Estoy lesionado.
Orani riki ea	Estoy rezando.
Eara jabe yoyo ike	Me disculpé.
Manzanara en pike	Comí manzanas.
Caviara en pike	Comí caviar.
Niti atipanke	Podría caminar.
Eara xateke	Me corto.
Eara xateke	Me corté.
Eara yansoyamake	No mentí.
Enra kopiayamake	No pagué.
Enra onanyamake	No sé.
Enra onanyamake	Lo desconozco.
Lechera en xeake	Tomé leche.
Enra jato merake	Los encontré.
Eara korikiya iki	Tengo dinero.
Enra ikoke	La abracé.
Enra mia shinanke	Te extrañé.
Eara jan sikati kenai	Necesito pintura.
Eara oxakasai	Necesito dormir.
Eara jain iti kenai	Necesito espacio.
Eara onpax kenai	Necesito agua.
Eara mion keni ike	Te necesitaba.
Eara wetsatianbo yoyo akai	Leo frecuentemente.
Eara kenake	Lo llamé.
Eara yoyo akai	Leo libros.
Ishtonra yoyo ike	Hablo rápido.
Jakonra ike	Simpatizo.
Enra moa ninkake	Entiendo.
Eara koriki kenai	Quiero dinero.
Eara kakasai	Quiero ir.
Eara raketi ibake	Tenía miedo.
Wishaboira ea kaibake	Fui enmarcado.
Pikasira ea ibake	Tenía hambre.
Eabichora ibake	Estaba solo.
Oxakasira ea ibake	Tenía sueño.
Eara joribai	Volveré.
Jakonra ea ikai	Estaré bien.
Eabichor ikai	Seré libre.
Eara aresai	Me arriesgaré.
Eara koshiboiba kai	Te demandaré.
Eara rokotoro iki	Soy médico.
Rokotoro riki ea	Soy doctor.
Jenenkonia riki ea	Soy surfista.
Camarero riki ea	Soy camarero.
Wishai riki ea	Soy escritor.
Actor riki ea	Soy actor.
Yosi joni riki ea	Soy adulta.
Jawekibo akai riki ea	Soy agente.
Anorexico riki ea	Soy anoréxico.
Autista riki ea	Soy autista.
Taebicho riki ea	Estoy descalzo.
Moara en ninkayamai	Estoy confuso.
Moara ea manoke	Estoy confundido.
Moara ea potananke	Estoy divorciada.
Axea riki ea	Tengo formación.
Matsinra ea akai	Estoy congelado.
Matsi rik	Estoy helado.
Jakon riki ea	Soy agradecida.
Osani riki ea	Estoy vacilante.
Enra jawebi ayamai	Soy inocente.
Jawera en yoiyamai	Soy culto.
Jakomachara en shinanai	Estoy indignado.
Sikai riki ea	Estoy pintando.
Toya riki ea	Estoy embarazada.
Moa atires riki ea	Estoy preparado.
Ninkatai riki ea	Soy racional.
Oke kawanbekonai	Soy inquieto.
Jakon riki ea	Soy intranquilo.
Ninkayamai riki ea	Soy terco.
Axei riki ea	Estoy estudiando.
Winotaicha	Soy concienzudo.
Moa akashorai riki ea	Estoy entusiasmado.
Ninkatai riki ea	Soy tolerante.
Jakoinra	Estoy exhausto.
Toshita	Estoy reventado.
¿Toetarin?	¿Está roto?
¿Jatiresrin?	¿Es suficiente?
Peokia	Ha empezado.
Peokota}	Empezó.
Peokota}	Comenzó.
Wisora ibake	Era negro.
Jakomara ibake	Fue repugnante.
Jakoinra	Fue mágico.
Menorai	Se quemará.
Enra ashokoai	Me toca.
Jakon riki	Está perfecto.
Matsicha riki	Está nevando.
Keteta riki	Está funcionando.
Manareswe	Sólo espera.
Ransaresraibake	Seguí bailando.
Chiniresraibake	Seguí cavando.
Boreswe	Sigue conduciendo.
Oinreswe	Sigue mirando.
Yoyo areswe	Siga leyendo.
Ishtoresraibake ea	Seguí corriendo.
Ishtoreswe	Sigue corriendo.
Ishtoreskanwe	Sigan corriendo.
Bewareswe	Sigue cantando.
Yoyo ireswe	Continuá hablando.
Eara yoyo ike	Continúe hablando.
Kareswe	Seguí caminando.
Wishareswe	Seguí escribiendo.
Kamawe	Déjalo ir.
Ea kamawe	Déjame ir.
¡Ea kamawe!	¡Déjame irme!
Ea yoyo imawe	Dejame hablar.
Ea shinanmawe	Déjame pensar.
Pikonon ikanwe	Salgamos.
Ninkanon ikanwe	Escuchemos.
Katimara ikanai	No vayamos.
Yoikanta	Adivina.
Maryra jikibake	Entró Mary.
Kareswe Tom	Continúa, Tom.
Kareswe Tom	Prosigue, Tom.
Tsonbira onanyamake	Nadie sabe.
Tsonbira yokayamake	Nadie preguntó.
Rama noa jenewe	Ahora déjanos.
Rama yakawe	Ahora sentate.
Ramara moa en onanke	Ah, entiendo.
Osanwe	Sonreíd.
Pontewe	Señalalo.
Xepenwe	Ábrela.
Jain awe	Ponedlo allí.
Jain akanwe	Pónganlo allí.
Jain awe	Ponlo ahí.
Yoiribiwe	Repítelo.
¡Eara joribai!	¡Hasta pronto!
Noa jakiribi oinananon	Hasta entonces.
¡Kikin rabintires!	¡Qué vergüenza!
¡Rabinwe!	¡Avergüénzate!
Jara jakon iki	Es tranquila.
Jakonra itinke	Está tranquila.
Min kenki ika	Le gustó.
Akia	Le disparó.
Jaki pikota	Ella salió.
Ja ea oinmawe	Muéstrame eso.
Tsoaki nokota	Alguien llegó.
Yakawe	Concéntrate.
Ebe banewe	Quedate conmigo.
Sinakananyamawe	No discutas.
Netewe	Cállate.
¡Jakonax oxawe!	¡Felices sueños!
¡Noeshaman oxawe!	¡Dulces sueños!
¡Rakawe!	¡Relajate!
Oinon ea yoita	Cuéntame más.
Ea yoireswe	Dime más.
Yoireswe	Dígame más.
Noa yoiresta	Dinos más.
Noa yoireswe	Dígannos más.
Yoireswe	Cuéntanos más.
¡Irake jakiribi!	¡Gracias nuevamente!
Janra akinai	Eso ayudará.
Jaskara riki	Así es.
Jaskara ikon	Es raro.
Akiakanai	Aprueban.
Jabaonra oinai	Ellos aprueban.
Anibo riki	Son grandes.
Arakanke	Vitorearon.
Tsakananrakanke	Se chocaron.
Tsakarakanke	Se estrellaron.
Jabarakanke	Se escaparon.
Enra onainbakanke	Me conocían.
Osanraibakanke	Rieron.
Menikashamarakanke	Se negaron.
Tsasirakanke	Pararon.
Niskanrakanke	Sudaron.
Kenarakanai	Llamarán.
Jabaonra kenai	Ellos llamarán.
Jabora joai	Ellos vendrán.
Berakanai	Vendrán.
Bachi riki	Son huevos.
Ishto riki jabo	Son rápidos.
Borakanke	Se fueron.
Jakon riki jabo	Son buenos.
Kikin kapobo	Son ricas.
Mechobo	Son feos.
Yosmabo	Son débiles.
Natonra akinai	Esto ayudará.
Tomanra yoibake	Tom respondió.
Toman jen akai	Tom aprueba.
Tomanra ayamai	Tom canceló.
Tomanra keyoke	Tom terminó.
Toman jato teareske	Tom insistió.
Toman ninkata	Tom escuchó.
Toman akinai ake	Tom prometió.
Tomra jabake	Tom huyó.
Tomra kake	Tom ceció.
Tomasninra jeneke	Tomás renunció.
Tomra jakoni yoyo iyamai	Tom tartamudea.
Tomra yoyo ikastiamai	Tom balbucea.
Tomra jaibake	Tom sobrevivió.
Tomasra manoibake	Tomás desapareció.
Tomra yoyo ikai	Tom hablará.
Tom, jishtenwe	Tom, despierta.
Natobo tanawe	Pruébate estos.
Pontewe	Intenta centrarte.
Jemanxon manawe	Espera fuera.
Jishteanwe	Despertalos.
Jishtenwe, Tom	Despiértate, Tom.
Ebe kawe	Camina conmigo.
Jakon akin yoiwe	Pedimos disculpas.
Nonra ati atipanke	Podemos hacerlo.
Noara tanatai	Nos preparamos.
Atiresa noa ibake	Estábamos listos.
Non pibake	Almorzamos.
Sereya pari riki noa	Tenemos tiempo.
Vinoya riki noa	Tenemos vino.
Nonra ja noike	Los amamos.
Nonra akinkanti kenai	Necesitamos ayuda.
Noara kenresai	Necesitamos más.
Nonra jan kenai	Lo necesitamos.
Ichairara noa oxake	Dormimos demasiado.
Noara kati jake	Deberíamos irnos.
¡Nonra nokoke!	¡Lo conseguimos!
¡Nonra ake!	¡Lo logramos!
Nonra moa atipanyamake	Nos rendimos.
Jakomara noa ibake	Estábamos heridos.
Jakomakanara noa ibake	Estábamos lastimados.
Yosibo riki noa	Somos adultos.
Rateta riki noa	Estamos asustados.
Xepota riki noa	Estamos cerrados.
Pikasi riki ea	Estamos hambrientos.
Min osani riki noa	Estamos bromeando.
Noara akanai	Estamos perdiendo.
Nonra bike	Lo tenemos.
¡Kikin jakoinra!	¡Qué festín!
¡Jakoinra yame!	¡Qué noche!
¡Kikin janso!	¡Qué farsante!
¡Rateti jaweki!	¡Qué susto!
¡Potareskana!	¡Qué desperdicio!
¡Jakoinra ainbo!	¡Qué mujer!
¡Jakoinra shinan!	¡Qué idea!
¿Tsoborin mato?	¿Quiénes son?
¿Tsonki jenea?	¿Quién canceló?
¿Tsonki ninkata?	¿Quién escuchó?
¿Tsonki jenea?	¿Quién renunció?
¿Tsonki jakomaaka?	¿Quién desapareció?
¿Tsonki peoai?	¿Quién empieza?
¿Tsonki xateai?	¿Quién parte?
¿Jirita jisarin?	¿Acaso vivirá?
Jakon riki mia	Eres bueno.
Jakonrin mia	Estás bien.
Korikiyarin mia	Eres rico.
Mia joti atipana	Puedes venir.
Mia baneti atipana	Puedes quedarte.
Mia pari	Tú primera.
Mato pari	Ustedes primero.
Noa pari	Vosotros primero.
Minra jakomaake	Lo heriste.
Min onana	Le conoces.
Mia nonoti atipana	Puedes nadar.
Minra akinai ibake	Prometiste.
Miara akinai ibake	Tú prometiste.
Akinai iraibake	Prometió.
Minra akinai ibake	Usted prometió.
Noara akinai ibake	Vosotros prometisteis.
Matora akinai ibake	Prometieron.
Matonra akinai ibake	Ustedes prometieron.
Minra akinaibake	Lo prometiste.
Minra yoibake	Lo prometió.
Matonra yoibake	Lo prometieron.
Minra ea rateai	Me asustas.
Mia jaibata	Sobreviviste.
Mia jaibata	Tú sobreviviste.
Jaraibake	Sobrevivió.
Mato jaibata	Usted sobrevivió.
Minra jakon ikai	Estarás bien.
Miara jakoma iki	Estás loco.
Jakoma	Es cruel.
Mia paena iki	Estás borracha.
Jara moa kati yoike	Está despedido.
Matora moa kati yoike	Están despedidos.
Osanti riki mia	Eres gracioso.
Xoa riki mia	Estás gordo.
Miara jansoai	Estás mintiendo.
Kikin onan riki mia	Eres ingenuo.
Jainra mia yoyo ikai	Tienes razón.
Onan riki mia	Eres inteligente.
Onan riki mato	Son inteligentes.
Atires riki mia	Eres listo.
Mia paxkina	Estás cansado.
Chorish riki mia	Eres duro.
Jainra riki mia	Estás equivocado.
¿Enra ake winokin?	¿Yo aprobé?
¿Namatirin ea?	¿Estoy soñando?
¿Tee akirin mato?	¿Están ocupados?
¿Polisrin mato?	¿Son polis?
¿Anirin mato?	¿Son altos?
¿Miabichorin?	¿Estás sola?
¿Mia ebe sinata?	¿Estás enojada?
¿Mia jishtena iki?	¿Estás despierta?
¿Mia jawe atiyoma iki?	¿Estás aburrido?
¿Mia jawe ayamai tsokasai?	¿Te aburres?
¿Paenarin mia?	¿Estás borracho?
¿Min xea?	¿Estás ebrio?
¿Bepainarin mia?	¿Estás embriagado?
¿Osantirin mia?	¿Eres gracioso?
¿Mia raroshaman iki?	¿Estás contento?
¿Jakonki mia ja?	¿Eres feliz?
¿Jakon?	¿Contento?
¿Moa mia ika?	¿Estás lista?
¿Mato moa ika?	¿Están listos?
¿Jainrin mia?	¿Estás?
¿Paxkinarin mia?	¿Estás cansado?
Jakonax raenanwe	Pórtate bien.
Shinanai iwe	Sea razonable.
Jakonax iwe	Sé respetuoso.
Ea akinwe	Apóyame.
Noa akinwe	Apóyanos.
Neri bewe	Tráelo aquí.
Akinti jato yokawe	Pide ayuda.
AKinti yokawe	Pida ayuda.
Akinti yokakanwe	Pidan ayuda.
¡Ja pekao ea kenawe!	¡Llámame después!
¿Ea jikiti atipana?	¿Puedo entrar?
¿Enki biti atipana?	¿Puedo tenerlo?
¿En mia ikoti atipana?	¿Puedo abrazarte?
¿En jain iti atipana?	¿Puedo participar?
¿En biti atipana?	¿Puedo quedármelo?
¿En mia benati atipana?	¿Puedo visitar?
¿En xeati atipana?	¿Puedo tomarlo?
¿Mia oxati atipana?	¿Puedes dormir?
Bakishra ea joai	Venga mañana.
Ebe ransawe	Baila conmigo.
¿Mia yoyo ika?	¿Hablaste?
¿Enki onana?	¿Le conozco?
¿En mia onana?	¿Te conozco?
¿Westiorara ea kenai?	¿Necesito uno?
Jakonax jowe	Serás bienvenido.
Ishton awe	Hazlo rápidamente.
Ishton akanwe	Hágalo rápido.
Ebe akanwe	Hazlo conmigo.
¿Ea min chibanai?	¿Me sigues?
¿Min oinai?	¿Lo ves?
¿Min ea oinai?	¿Me ves?
Xoayamawe	No engordes.
Pitaniwe	Come algo.
Jatixonbira ake	Todos ganan.
Ea meniwe	Dámelo.
Ea yoiwe	Dímelo.
Jati ribi ea meniwe	Dame algunos.
Jabo ea meniwe	Deme esos.
Tenewe	Aguanta.
Jain ea manawe	Espera ahí.
Jainxon manawe	Espere allí.
Koshi yatamewe	Agárrate fuerte.
Ja benxoawe	Guarda eso.
Jaki yoyo iwe	Conserva eso.
Jomawe	Hazlo venir.
Icha piwe	Come mucho.
Birakanke	Le cogieron.
Yoyo aki riki	Está leyendo.
Betsoarake	La besó.
Pasnara ike	Luce pálido.
¡Otexban!	¡Me pellizcó!
Ishton kawe	Camina rápido.
Eara kenresai	Quiere más.
Jato akinairin mia	Es abogado.
Jawera ayamake	Es inocente.
Jainra joai	Aquí viene.
Koshi ea ikowe	Abrazame fuertemente.
Jain manawe	Espera allí.
Koshi yatanwe	Sujétalo fuerte.
¡Yatanwe!	¡Sujétalo!
¿Jawekeskarin mia?	¿Cómo estáis?
¿Jawetiki mawakana?	¿Cuántos murieron?
¡Kikin metsaira!	¡Qué emocionante!
Ishton jowe, Tom	Apúrate, Tom.
Eara mawakeanke	Casi morí.
Jatibitianra ea kai	Siempre camino.
Rinko joni riki ea	Soy americano.
Japones riki ea	Soy japonés.
Okoi riki ea	Estoy tosiendo.
Eara jakoma shinanmai	Me indigna.
Jatishan iki riki ea	Estoy estornudando.
Enra mia ikoankai	Te creo.
Enra mato ikoankai	Les creo.
Enra mato kenake	Los llamé.
Eara ninkatai	Puedo sentirlo.
En mia ointi atipana	Puedo verte.
Enra moa ake	Yo contribuí.
Enra manayamake	No esperé.
Eara axeyamai	No estudio.
Jaskaraira ikemabi	Yo exageré.
Eara oxake	Me dormí.
En mia ninkabanon	Te perdono.
Eara wanoke	Me casé.
Eara noyakasma iki	Odio volar.
Eara noyakashamai	Detesto volar.
Eara jaweranobi kakashamai	Odio perder.
Eara ikashamai	Detesto perder.
Retis ika riki ea	Estoy resfriado.
Eara jain iki	Estoy acatarrado.
Enra jakoma jaweki ake	He pecado.
Enra joibo ninkatai	Escucho voces.
Enra mia paranke	Te mentí.
Enra mato paranke	Les mentí.
Cafera en ake	Hice café.
Enra yame piti yoake	Preparé cena.
Eara cafe xeakasai	Necesito café.
Enra mato bike	La rescaté.
Enra bike	Lo rescaté.
Enra tan tash ake	Lo abofeteé.
Eara ichaira oxake	Dormí mucho.
Cafera ea kenai	Quiero café.
Eara winikasai	Quiero llorar.
Eara mawakasai	Quiero morir.
Eara pikasai	Quiero comer.
Eara akasai	Quiero intentarlo.
Eara kanankasai	Quiero ganar.
Eara koirameke	Tuve cuidado.
Sinata riki ea	Estaba furioso.
Washimisira ike	Estaba celoso.
Yatankanara ea ike	Estaba atrapado.
Ras akanara ea ike	Estaba desarmado.
Enra akonbireske	Hice senderismo.
Eara metsaira jaweki wishake	Escribo versos.
Enra amai	Lo permitiré.
Eabichora ikai	Estaré solo.
Ishtonra en yoiyai	Seré breve.
Jainra ea ikai	Estaré ahí.
Enra biai	Lo compraré.
Enra kenai	Lo llamaré.
Nenora en piai	Comeré aquí.
Enra reteai	Lo mataré.
Enra reteai	Le mataré.
Enra mia reteai	Te mataré.
Enra oimai	Lo demostraré.
Enra mia oimai	Te mostraré.
Enra oimai	Le mostraré.
Enra boai	Lo llevaré.
Westiora en biai	Cogeré uno.
Enra oinai	Lo miraré.
Islandes riki ea	Soy islandés.
Axeai bakeranon riki ea	Soy estudiante.
Axeamis riki ea	Soy maestro.
Enra oinke	Soy testigo.
Akas riki ea	Soy adicta.
Papayoma	Soy huérfano.
Metsa riki ea	Soy guapa.
Akashorai riki ea	Estoy desesperado.
Paxkina riki ea	Estoy agotado.
Eki shinanbenokana	Soy olvidadizo.
Jakoma bicho	Estoy horrorizado.
Katires	Estoy impaciente.
Kikin kapo	Soy importante.
Ratereskin oina	Estoy impresionada.
Jakoinra	Estoy intrigada.
Ninkati riki ea	Estoy escuchando.
Enra mia ninkatai	Te escucharé.
AKasi	Estoy motivado.
Ponte yoikas	Soy realista.
Jakoinra shinani	Estoy satisfecho.
Winikas	Soy sensible.
Xeatiya riki ea	Tengo cerveza.
¿Oini riki?	¿Está mirando?
¿Isin riki?	¿Es doloroso?
¿Jatixonbi oinkanai?	¿Es popular?
¿Jainbi itina?	¿Es privado?
¿Oi bei riki?	¿Está lloviendo?
¿Ichamacha?	¿A poco?
¿Batarin?	¿Es dulce?
¿Japarikia?	¿Hay más?
¿Sereki japaria?	¿Hay tiempo?
Pakekia	Se quebró.
Jakomakia	Empeora.
Matsikia	Había nevado.
Nenora chexai	Aquí duele.
Eara isinmai	Me enferma.
Sere manapariwe	Toma tiempo.
Serera japarike	Lleva tiempo.
Jainra itinke	Fue irónico.
Isinrayamai	No dolerá.
Ayamarai	No servirá.
Jakoniki ikai	Funciona bien.
Atibiresa ikai	Será fácil.
Jatixonbi noikana	Es adorable.
Maroti jawekibo	Son negocios.
Mashibires	Está desierto.
Jakoinra jaweki	Es emocionante.
Jakoni	Está mejorado.
Yatanti	Es obsoleto.
Teebo aki	Está ocupado.
Moa yoikana	Es oficial.
Yatanti jaweki	Está obsoleto.
Westiora sere	Un minuto.
Jenewe	Déjelo.
Chankareswe	Solo levántate.
Italiano axewe	Aprende italiano.
Neno jenewe	Déjelo aquí.
Winomawe	Déjale pasar.
Ea keyomawe	Déjame terminar.
Ea keyomakanwe	Dejame terminar.
Ea yatamakanwe	Déjame cogerlo.
Ea oinmakanwe	Déjame verlo.
Ea tanamakanwe	Déjame intentarlo.
Tenamakanwe	Déjame probarlo.
Yokanon ikanwe	Preguntémosle.
Aresnon ikanwe	Hagamos más.
Nato ati riki	Hagamos eso.
Jemanxon piti riki	Comamos fuera.
Kanon bokanwe	Vámonos.
Banenon ikanwe	Volvamos.
Naman bonon ikanwe	Vayamos abajo.
Jainbi imanon ikanwe	Mantengámoslo.
Chibanresnon ikanwe	Prosigamos.
Aresnon ikanwe	Avancemos.
Xepenon ikanwe	Abrámoslo.
Karenon ikanwe	Sigamos adelante.
Ishton awe	Hazlo rápido.
Bakecha awe	Resume.
¿En ointi atipana?	¿Puedo verlo?
Nato yoyo awe	Memoriza esto.
Tsonbiki kenama iki	Nadie llamó.
¡Yoitaniwe!	¡Di algo!
¡Yoiwe!	¡Decid algo!
En ranxonwe	Mándamelo.
¿Peoban?	¿Empiezo?
